 	Lactococcus_lactis	Listeria_monocytogenes	Mycobacterium_tuberculosis	Mycoplasma_pneumoniae	Neisseria_meningitidis	Nostoc_punctiforme	Pseudomonas_fluorescens	Salmonella_enterica	Shigella_flexneri	Streptococcus_pyogenes	Streptomyces_coelicolor	Xanthomonas_oryzae
Lactococcus_lactis	1.0	0.9134388727343858	0.8344054713432189	0.7166782643261427	0.5559728306061729	0.8084428302001834	0.8243565477261244	0.9013215197586046	0.9242334554371746	0.9556129249129418	0.763003990467746	0.9179301226369136
Listeria_monocytogenes	0.9134388727343858	1.0	0.8806885532138196	0.5773325390316361	0.5048664541062786	0.8825005435878895	0.9152126766753639	0.9552727888102582	0.7623976505020353	0.9067330753934484	0.8760386196090213	0.8925687682884744
Mycobacterium_tuberculosis	0.8344054713432189	0.8806885532138196	1.0	0.5030800272051534	0.5971944498971495	0.9113902210762825	0.8677582600951019	0.8736628292112987	0.760151687965565	0.8138636553937526	0.7986892465458759	0.9015520051657684
Mycoplasma_pneumoniae	0.7166782643261427	0.5773325390316361	0.5030800272051534	1.0	0.2880625066209668	0.5025322483870474	0.38048678309122524	0.5026516097185983	0.5675022633730968	0.7497902968023815	0.4334187244235248	0.5897286445501577
Neisseria_meningitidis	0.5559728306061729	0.5048664541062786	0.5971944498971495	0.2880625066209668	1.0	0.5541773354967526	0.5726056627493744	0.5796822032887543	0.5930855243930966	0.4695514554821929	0.47662187697670627	0.5709799460707734
Nostoc_punctiforme	0.8084428302001834	0.8825005435878895	0.9113902210762825	0.5025322483870474	0.5541773354967526	0.9999999999999998	0.8387425901167913	0.8611614613659011	0.7307308095511693	0.7584679781573007	0.8262943659780959	0.9284820875178934
Pseudomonas_fluorescens	0.8243565477261244	0.9152126766753639	0.8677582600951019	0.38048678309122524	0.5726056627493744	0.8387425901167913	1.0	0.9298114663029232	0.7270050440494316	0.8250792423105318	0.8594943500819633	0.8830720417353541
Salmonella_enterica	0.9013215197586046	0.9552727888102582	0.8736628292112987	0.5026516097185983	0.5796822032887543	0.8611614613659011	0.9298114663029232	1.0	0.8269035562478243	0.9059883553702976	0.7665081166063514	0.9158747084018104
Shigella_flexneri	0.9242334554371746	0.7623976505020353	0.760151687965565	0.5675022633730968	0.5930855243930966	0.7307308095511693	0.7270050440494316	0.8269035562478243	1.0	0.8541477808462052	0.5803891397049603	0.8852734449660357
Streptococcus_pyogenes	0.9556129249129418	0.9067330753934484	0.8138636553937526	0.7497902968023815	0.4695514554821929	0.7584679781573007	0.8250792423105318	0.9059883553702976	0.8541477808462052	0.9999999999999998	0.713075433788797	0.8787496617205374
Streptomyces_coelicolor	0.763003990467746	0.8760386196090213	0.7986892465458759	0.4334187244235248	0.47662187697670627	0.8262943659780959	0.8594943500819633	0.7665081166063514	0.5803891397049603	0.713075433788797	1.0	0.7807535602321094
Xanthomonas_oryzae	0.9179301226369136	0.8925687682884744	0.9015520051657684	0.5897286445501577	0.5709799460707734	0.9284820875178934	0.8830720417353541	0.9158747084018104	0.8852734449660357	0.8787496617205374	0.7807535602321094	1.0
