 	Lactococcus_lactis	Listeria_monocytogenes	Mycobacterium_tuberculosis	Mycoplasma_pneumoniae	Neisseria_meningitidis	Nostoc_punctiforme	Pseudomonas_fluorescens	Salmonella_enterica	Shigella_flexneri	Streptococcus_pyogenes	Streptomyces_coelicolor	Xanthomonas_oryzae
Lactococcus_lactis	0.0	4.700037250909006e-10	4.0251384715436355e-07	8.153038124517921e-05	0.004787923285009838	1.7564311448070868e-06	7.322483837805738e-07	1.874486414908205e-09	1.1430393318790416e-10	3.6960859546675255e-13	1.4521319455136579e-05	2.672054303713412e-10
Listeria_monocytogenes	4.700037250909006e-10	0.0	1.3704499397032764e-08	0.0031370056810667408	0.011863776350707705	1.168296674635899e-08	3.774457891177108e-10	4.0134702791870417e-13	1.4889185925015817e-05	1.0343607056963116e-09	2.0405531188138803e-08	4.577692614405958e-09
Mycobacterium_tuberculosis	4.0251384715436355e-07	1.3704499397032764e-08	0.0	0.012216685790796374	0.0020622698186777712	6.020201514507629e-10	3.992240402929653e-08	2.4856747312298273e-08	1.6324608400226928e-05	1.315901297427507e-06	2.8887059064056475e-06	1.8288997586609368e-09
Mycoplasma_pneumoniae	8.153038124517921e-05	0.0031370056810667408	0.012216685790796374	0.0	0.17224736020415693	0.012326614491651264	0.06662775834781257	0.012302591869032972	0.0038241791521274075	2.465321392270748e-05	0.03436269649562197	0.0024220193984088967
Neisseria_meningitidis	0.004787923285009838	0.011863776350707705	0.0020622698186777712	0.17224736020415693	0.0	0.004954953445017623	0.003453097223675373	0.002989226276231764	0.00225416629570263	0.020613932040553243	0.01853693553122587	0.003567850837323313
Nostoc_punctiforme	1.7564311448070868e-06	1.168296674635899e-08	6.020201514507629e-10	0.012326614491651264	0.004954953445017623	2.2282693381708265e-170	3.070930683031643e-07	6.604448206620128e-08	5.011427167970676e-05	1.7479520447287646e-05	6.543748518431907e-07	6.181645840404956e-11
Pseudomonas_fluorescens	7.322483837805738e-07	3.774457891177108e-10	3.992240402929653e-08	0.06662775834781257	0.003453097223675373	3.070930683031643e-07	0.0	5.060550382989966e-11	5.7178560621316027e-05	7.022893449312027e-07	7.470150503442687e-08	1.1103457231710954e-08
Salmonella_enterica	1.874486414908205e-09	4.0134702791870417e-13	2.4856747312298273e-08	0.012302591869032972	0.002989226276231764	6.604448206620128e-08	5.060550382989966e-11	0.0	6.31469553852261e-07	1.1249203364063826e-09	1.2548489233330223e-05	3.4735533718819353e-10
Shigella_flexneri	1.1430393318790416e-10	1.4889185925015817e-05	1.6324608400226928e-05	0.0038241791521274075	0.00225416629570263	5.011427167970676e-05	5.7178560621316027e-05	6.31469553852261e-07	0.0	1.097506544353018e-07	0.002945935691398182	9.104781421145439e-09
Streptococcus_pyogenes	3.6960859546675255e-13	1.0343607056963116e-09	1.315901297427507e-06	2.465321392270748e-05	0.020613932040553243	1.7479520447287646e-05	7.022893449312027e-07	1.1249203364063826e-09	1.097506544353018e-07	2.2282693381708265e-170	9.194604817806694e-05	1.6210793655566373e-08
Streptomyces_coelicolor	1.4521319455136579e-05	2.0405531188138803e-08	2.8887059064056475e-06	0.03436269649562197	0.01853693553122587	6.543748518431907e-07	7.470150503442687e-08	1.2548489233330223e-05	0.002945935691398182	9.194604817806694e-05	0.0	6.748781695717608e-06
Xanthomonas_oryzae	2.672054303713412e-10	4.577692614405958e-09	1.8288997586609368e-09	0.0024220193984088967	0.003567850837323313	6.181645840404956e-11	1.1103457231710954e-08	3.4735533718819353e-10	9.104781421145439e-09	1.6210793655566373e-08	6.748781695717608e-06	0.0
