 	Lactococcus_lactis	Listeria_monocytogenes	Mycobacterium_tuberculosis	Mycoplasma_pneumoniae	Neisseria_meningitidis	Nostoc_punctiforme	Pseudomonas_fluorescens	Salmonella_enterica	Shigella_flexneri	Streptococcus_pyogenes	Streptomyces_coelicolor	Xanthomonas_oryzae
Lactococcus_lactis	0.9999999999999999	0.9301778251337173	0.7374839539086088	0.8483208041356686	0.6738614463290343	0.7579454331492846	0.7838016041652757	0.881533184656586	0.8975589344515522	0.9577342047930282	0.8206359227377378	0.8499892951836767
Listeria_monocytogenes	0.9301778251337173	1.0	0.7054740145686765	0.7796721497726934	0.636789086149102	0.7676063057157941	0.8587024339788351	0.9097073141963667	0.7978612043427395	0.8730099644288066	0.8715961403725491	0.8360246652805622
Mycobacterium_tuberculosis	0.7374839539086088	0.7054740145686765	1.0	0.5992170535756023	0.76295392111112	0.8033927794693345	0.7491842683241716	0.6422977109449378	0.6672479563414871	0.67784091867515	0.8481948673336233	0.778768780662176
Mycoplasma_pneumoniae	0.8483208041356686	0.7796721497726934	0.5992170535756023	1.0	0.590145667699499	0.598780942182898	0.5020734187501819	0.6374360717375667	0.6855901079607196	0.8190758883254858	0.6402115244897992	0.6468939009613552
Neisseria_meningitidis	0.6738614463290343	0.636789086149102	0.76295392111112	0.590145667699499	0.9999999999999999	0.6905734476882871	0.6552085597302219	0.6612716430266823	0.7197370895326721	0.5731695060729717	0.7160659414724294	0.6647703246741654
Nostoc_punctiforme	0.7579454331492846	0.7676063057157941	0.8033927794693345	0.598780942182898	0.6905734476882871	1.0	0.8333696085801107	0.7288947600493025	0.7234326732919126	0.6769702174308657	0.9282296650717703	0.9097237543936368
Pseudomonas_fluorescens	0.7838016041652757	0.8587024339788351	0.7491842683241716	0.5020734187501819	0.6552085597302219	0.8333696085801107	1.0	0.8663765167081248	0.7625794110846396	0.7426520199465987	0.8949314982246347	0.8698868581375109
Salmonella_enterica	0.881533184656586	0.9097073141963667	0.6422977109449378	0.6374360717375667	0.6612716430266823	0.7288947600493025	0.8663765167081248	1.0	0.8958609066260657	0.8741290027696483	0.781114086142387	0.7978237403295618
Shigella_flexneri	0.8975589344515522	0.7978612043427395	0.6672479563414871	0.6855901079607196	0.7197370895326721	0.7234326732919126	0.7625794110846396	0.8958609066260657	1.0	0.8995205736963466	0.711673081372056	0.7819651773190107
Streptococcus_pyogenes	0.9577342047930282	0.8730099644288066	0.67784091867515	0.8190758883254858	0.5731695060729717	0.6769702174308657	0.7426520199465987	0.8741290027696483	0.8995205736963466	0.9999999999999999	0.7474970182178756	0.7811889321513915
Streptomyces_coelicolor	0.8206359227377378	0.8715961403725491	0.8481948673336233	0.6402115244897992	0.7160659414724294	0.9282296650717703	0.8949314982246347	0.781114086142387	0.711673081372056	0.7474970182178756	1.0	0.8892756355717809
Xanthomonas_oryzae	0.8499892951836767	0.8360246652805622	0.778768780662176	0.6468939009613552	0.6647703246741654	0.9097237543936368	0.8698868581375109	0.7978237403295618	0.7819651773190107	0.7811889321513915	0.8892756355717809	1.0
