 	Lactococcus_lactis	Listeria_monocytogenes	Mycobacterium_tuberculosis	Mycoplasma_pneumoniae	Neisseria_meningitidis	Nostoc_punctiforme	Pseudomonas_fluorescens	Salmonella_enterica	Shigella_flexneri	Streptococcus_pyogenes	Streptomyces_coelicolor	Xanthomonas_oryzae
Lactococcus_lactis	1.0880221377787092e-173	4.785736111702748e-11	3.924342195448148e-05	1.6412181859104722e-07	0.00030610855214836916	1.7852331608910142e-05	5.875284842719578e-06	1.2726087753039038e-08	2.7785907473944814e-09	2.1782216532376975e-13	9.052870343140361e-07	1.4651230775920612e-07
Listeria_monocytogenes	4.785736111702748e-11	0.0	0.00011781528027953497	7.085277700688184e-06	0.0008201839474448162	1.1981049033383459e-05	7.915933425529756e-08	7.345275464453148e-10	3.009611209253959e-06	2.6223702349994703e-08	2.941781480901581e-08	3.6417062962302356e-07
Mycobacterium_tuberculosis	3.924342195448148e-05	0.00011781528027953497	0.0	0.0019730392636485555	1.4551389241978957e-05	2.280275046764647e-06	2.5239518571095417e-05	0.0007142017293354449	0.0003685514228025109	0.00027314822924276894	1.6552482553057415e-07	7.377685618561532e-06
Mycoplasma_pneumoniae	1.6412181859104722e-07	7.085277700688184e-06	0.0019730392636485555	0.0	0.0024006061424823796	0.0019919955313703985	0.012419318061277895	0.0008070734243977214	0.0002177178509257316	9.880848516423276e-07	0.0007528584325687974	0.0006350268434432787
Neisseria_meningitidis	0.00030610855214836916	0.0008201839474448162	1.4551389241978957e-05	0.0024006061424823796	1.0880221377787092e-173	0.00018749469214225195	0.000510914210858711	0.00043419641193254653	7.351456367672144e-05	0.0034140332415167956	8.322396754910865e-05	0.0003946386297639931
Nostoc_punctiforme	1.7852331608910142e-05	1.1981049033383459e-05	2.280275046764647e-06	0.0019919955313703985	0.00018749469214225195	0.0	4.288966147669869e-07	5.349330310245109e-05	6.47585823493723e-05	0.0002800831867475028	6.418260738493721e-11	7.331151970889372e-10
Pseudomonas_fluorescens	5.875284842719578e-06	7.915933425529756e-08	2.5239518571095417e-05	0.012419318061277895	0.000510914210858711	4.288966147669869e-07	0.0	4.445878607307741e-08	1.4778056982668724e-05	3.2384590226068595e-05	3.625225869778104e-09	3.374298335169846e-08
Salmonella_enterica	1.2726087753039038e-08	7.345275464453148e-10	0.0007142017293354449	0.0008070734243977214	0.00043419641193254653	5.349330310245109e-05	4.445878607307741e-08	0.0	3.3023673238048014e-09	2.3920197754546493e-08	6.63979115776244e-06	3.0151862469622246e-06
Shigella_flexneri	2.7785907473944814e-09	3.009611209253959e-06	0.0003685514228025109	0.0002177178509257316	7.351456367672144e-05	6.47585823493723e-05	1.4778056982668724e-05	3.3023673238048014e-09	0.0	2.2674610214567907e-09	9.630482754114983e-05	6.388663891323706e-06
Streptococcus_pyogenes	2.1782216532376975e-13	2.6223702349994703e-08	0.00027314822924276894	9.880848516423276e-07	0.0034140332415167956	0.0002800831867475028	3.2384590226068595e-05	2.3920197754546493e-08	2.2674610214567907e-09	1.0880221377787092e-173	2.693713691324428e-05	6.6173610730037855e-06
Streptomyces_coelicolor	9.052870343140361e-07	2.941781480901581e-08	1.6552482553057415e-07	0.0007528584325687974	8.322396754910865e-05	6.418260738493721e-11	3.625225869778104e-09	6.63979115776244e-06	9.630482754114983e-05	2.693713691324428e-05	0.0	6.28073403408195e-09
Xanthomonas_oryzae	1.4651230775920612e-07	3.6417062962302356e-07	7.377685618561532e-06	0.0006350268434432787	0.0003946386297639931	7.331151970889372e-10	3.374298335169846e-08	3.0151862469622246e-06	6.388663891323706e-06	6.6173610730037855e-06	6.28073403408195e-09	0.0
