 	A	-	D	P	L	J	U	N	H	F	G	C	S	T	O	I	E	Q	M	V	K
12004.9	0	1	1	0	1	0	0	0	0	0	1	0	4	0	0	0	4	0	4	0	2
24009.8	0	0	0	0	3	0	0	0	1	1	2	0	6	1	0	0	5	1	3	3	4
36014.7	0	0	0	0	2	0	0	0	1	3	1	1	8	1	0	0	1	1	2	3	3
48019.6	0	2	0	0	2	1	0	0	1	3	0	1	7	0	0	0	1	0	2	0	1
60024.5	0	2	0	0	2	1	0	0	1	2	3	0	6	0	0	1	1	0	0	0	3
72029.4	0	0	0	1	2	0	0	0	0	1	4	1	4	0	0	2	0	0	0	0	2
84034.29999999999	0	0	0	1	3	1	0	0	0	0	4	2	1	3	0	2	0	0	0	0	4
96039.19999999998	0	1	0	0	3	1	0	0	1	1	3	2	2	3	0	4	0	0	0	2	6
108044.09999999998	0	2	0	0	3	1	0	0	1	1	0	3	2	1	3	3	1	0	1	2	2
120048.99999999997	0	2	0	2	2	2	2	0	1	0	0	5	1	1	4	0	1	0	1	0	1
132053.89999999997	0	1	0	2	4	2	2	0	2	1	1	3	2	0	2	0	1	0	0	0	3
144058.79999999996	0	1	0	0	5	1	0	0	1	1	1	0	8	0	1	0	4	0	0	0	2
156063.69999999995	0	1	0	4	2	1	0	0	0	1	0	0	6	0	0	0	5	0	0	0	0
168068.59999999995	0	0	0	5	1	1	0	0	0	3	1	1	1	0	1	0	5	0	2	0	1
180073.49999999994	0	0	0	11	3	0	0	0	0	2	1	1	2	0	1	0	3	0	2	0	3
192078.39999999994	0	0	0	14	4	0	0	0	2	0	1	2	5	0	0	0	1	0	1	0	2
204083.29999999993	0	0	0	8	2	0	0	0	2	0	2	2	4	0	1	0	3	0	1	0	2
216088.19999999992	0	0	0	9	0	0	0	0	0	1	1	0	1	0	1	0	2	0	0	0	2
228093.09999999992	0	1	0	5	4	2	0	0	0	2	2	0	3	0	1	0	0	0	2	0	3
240097.9999999999	0	2	0	1	4	3	0	0	0	1	3	0	5	0	1	0	2	0	2	0	4
252102.8999999999	0	2	0	3	0	1	0	0	0	2	1	1	4	0	1	0	2	0	1	0	1
264107.79999999993	0	3	0	5	1	0	0	0	1	2	0	1	5	0	1	0	0	1	1	0	1
276112.69999999995	0	2	0	3	1	1	1	0	2	3	2	0	6	0	0	0	1	1	0	3	1
288117.6	0	0	0	1	1	2	1	0	1	4	5	1	6	0	0	0	2	0	2	3	3
300122.5	0	0	0	1	1	3	0	0	3	3	3	1	7	0	0	0	1	0	4	0	5
312127.4	0	1	0	0	0	2	0	0	3	2	0	0	7	0	0	0	0	0	7	0	2
324132.30000000005	0	1	0	0	1	0	0	0	0	0	2	0	6	0	0	0	0	0	12	0	0
336137.20000000007	0	1	0	2	2	1	0	0	2	0	2	0	5	0	1	0	0	0	8	0	0
348142.1000000001	0	2	0	2	2	2	0	0	3	2	2	1	5	0	1	0	0	0	1	0	0
360147.0000000001	0	1	0	0	1	5	0	0	2	2	2	1	5	0	0	0	2	0	0	1	2
372151.90000000014	0	2	0	1	0	4	0	0	1	2	1	0	7	0	0	0	3	0	0	1	2
384156.80000000016	0	2	0	1	1	0	0	0	0	2	1	1	5	0	0	0	1	0	1	0	1
396161.7000000002	0	0	0	0	1	3	1	0	0	0	1	1	6	0	0	1	0	1	2	1	3
408166.6000000002	0	0	0	2	2	3	2	0	0	1	3	0	5	0	0	1	3	1	4	1	3
420171.50000000023	0	0	0	2	2	1	2	0	1	1	3	1	2	0	0	2	5	0	3	0	2
432176.40000000026	0	0	0	0	0	4	1	0	1	1	2	1	6	1	0	2	2	1	1	0	2
444181.3000000003	0	1	0	1	2	5	0	0	0	1	1	0	10	2	0	0	1	1	2	0	2
456186.2000000003	0	1	0	1	6	2	0	0	0	0	0	0	10	1	0	1	2	0	1	0	2
468191.1000000003	0	0	0	0	6	1	0	0	1	0	0	5	6	0	1	1	2	0	0	0	1
480196.00000000035	0	1	0	1	5	1	0	0	1	0	0	5	5	0	1	0	2	0	0	0	1
492200.9000000004	0	1	1	1	3	0	0	0	0	1	2	1	3	0	1	0	1	0	0	1	2
504205.8000000004	0	0	2	0	2	3	0	0	0	1	2	1	2	0	1	0	0	0	0	1	3
516210.7000000004	0	0	1	0	4	3	0	0	0	1	0	0	2	0	0	0	0	0	0	0	2
528215.6000000004	0	0	0	0	2	4	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0
540220.5000000005	0	1	0	0	1	6	1	0	0	0	1	0	1	0	0	0	0	0	1	2	1
552225.4000000005	0	1	0	2	3	2	1	0	0	0	0	1	1	0	0	1	0	1	0	3	2
564230.3000000005	0	2	0	3	3	2	0	0	0	0	1	1	1	1	0	2	1	1	0	1	4
576235.2000000005	0	3	0	2	2	2	0	0	0	0	3	0	1	2	0	1	3	0	2	0	4
588240.1000000006	0	4	0	1	2	0	0	0	1	0	3	2	6	1	1	0	2	0	2	0	1
600245.0000000006	0	3	0	0	5	0	0	0	1	0	1	2	7	2	1	0	1	0	0	0	2
612249.9000000006	0	6	0	0	6	0	0	0	0	0	0	0	3	3	0	0	2	0	0	0	3
624254.8000000006	0	6	0	0	4	2	0	0	0	0	3	0	3	1	0	0	3	0	0	1	2
636259.7000000007	0	0	0	0	2	3	0	0	0	0	4	0	3	0	0	0	3	0	2	1	1
648264.6000000007	0	0	0	0	1	2	0	0	0	0	2	0	6	0	0	0	1	0	3	0	5
660269.5000000007	0	0	0	0	3	1	0	0	0	2	1	2	6	1	0	1	4	0	1	0	6
672274.4000000007	0	0	1	0	2	2	0	0	0	2	1	2	1	1	0	1	4	0	0	0	2
684279.3000000007	0	1	1	0	1	2	0	0	0	0	1	0	3	0	1	0	0	0	2	0	3
696284.2000000008	0	1	0	0	3	2	1	0	1	0	0	1	4	0	1	0	0	0	3	0	2
708289.1000000008	0	0	0	3	4	3	7	4	1	0	0	1	2	0	0	0	0	0	1	0	1
720294.0000000008	0	0	0	3	2	5	7	4	1	0	0	0	3	0	0	1	0	0	2	1	2
732298.9000000008	0	0	0	0	0	22	2	0	1	1	0	0	2	0	0	1	0	0	2	1	1
744303.8000000009	0	0	0	0	0	22	1	0	1	1	1	0	4	0	0	0	2	0	2	1	1
756308.7000000009	0	0	0	0	3	5	0	0	1	0	1	0	10	0	1	2	2	2	2	1	3
768313.6000000009	0	0	0	0	5	1	1	0	0	0	0	3	11	1	1	2	1	2	0	0	2
780318.5000000009	0	3	1	0	5	0	1	0	0	0	1	3	8	1	0	0	1	0	1	0	0
792323.400000001	0	4	1	0	5	1	0	0	0	0	1	0	3	0	0	0	3	0	2	0	2
804328.300000001	0	1	0	2	3	1	0	0	0	0	1	0	2	0	0	0	9	0	1	0	2
816333.200000001	0	2	0	2	4	1	0	0	0	3	1	0	2	1	0	0	6	0	0	0	1
828338.100000001	0	4	0	1	4	3	1	0	0	4	1	3	3	1	0	0	0	0	0	2	1
